row_id,entity_text,label,normalized,std_id,context_sentence,source_url,group_name
1,APT32,AG,APT32,,APT32 is a suspected Vietnam-based threat group that has been active since at least 2014.,https://attack.mitre.org/groups/G0050/,APT32
1,Vietnam,RL,Vietnam,,"...with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia.",https://attack.mitre.org/groups/G0050/,APT32
1,Philippines,RL,Philippines,,"...Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia.",https://attack.mitre.org/groups/G0050/,APT32
1,Laos,RL,Laos,,"...Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia.",https://attack.mitre.org/groups/G0050/,APT32
1,Cambodia,RL,Cambodia,,"...Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia.",https://attack.mitre.org/groups/G0050/,APT32
1,strategic web compromises,AM,Strategic Web Compromise,,They have extensively used strategic web compromises to compromise victims.,https://attack.mitre.org/groups/G0050/,APT32
2,APT28,AG,APT28,,APT28 is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU)...,https://attack.mitre.org/groups/G0007/,APT28
2,Russia,RL,Russia,,...attributed to Russia's General Staff Main Intelligence Directorate (GRU)...,https://attack.mitre.org/groups/G0007/,APT28
2,Hillary Clinton campaign,AT,Hillary Clinton Campaign,,"...compromised the Hillary Clinton campaign, the Democratic National Committee...",https://attack.mitre.org/groups/G0007/,APT28
2,Democratic National Committee,AT,Democratic National Committee,,"...the Democratic National Committee, and the Democratic Congressional Campaign Committee...",https://attack.mitre.org/groups/G0007/,APT28
2,World Anti-Doping Agency,AT,World Anti-Doping Agency,,...conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA)...,https://attack.mitre.org/groups/G0007/,APT28
3,APT29,AG,APT29,,APT29 is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR).,https://attack.mitre.org/groups/G0016/,APT29
3,Russia,RL,Russia,,...attributed to Russia's Foreign Intelligence Service (SVR).,https://attack.mitre.org/groups/G0016/,APT29
3,government networks,AT,Government Networks,,...often targeting government networks in Europe and NATO member countries...,https://attack.mitre.org/groups/G0016/,APT29
